variable_name,description,data_type,possible_values,units
ability_ALT_d,Behavioral Task Indicators,float,NA,NA
ability_ALT_rt,Behavioral Task Indicators,float,NA,NA
ability_IAT,Behavioral Task Indicators,float,NA,NA
ability_SRET_EW,Behavioral Task Indicators,float,NA,NA
ability_SRET_RJ1_d,Behavioral Task Indicators,float,NA,NA
ability_SRET_RJ2_d,Behavioral Task Indicators,float,NA,NA
ability_SRET_rt,Behavioral Task Indicators,float,NA,NA
Ability,Item of the specified psychological scale,integer,NA,NA
age,Participant age,categoical,NA,NA
Attraction,Item of the specified psychological scale,integer,NA,NA
birthday,The birthday of particitants,integer,NA,NA
con,Experimental condition label,categoical,NA,NA
condition,Experimental condition label,categoical,NA,NA
conditionType,Type of experimental condition,categoical,NA,NA
coreself_1,Item of the specified psychological scale,integer,NA,NA
coreself_10,Item of the specified psychological scale,integer,NA,NA
coreself_2,Item of the specified psychological scale,integer,NA,NA
coreself_3,Item of the specified psychological scale,integer,NA,NA
coreself_4,Item of the specified psychological scale,integer,NA,NA
coreself_5,Item of the specified psychological scale,integer,NA,NA
coreself_6,Item of the specified psychological scale,integer,NA,NA
coreself_7,Item of the specified psychological scale,integer,NA,NA
coreself_8,Item of the specified psychological scale,integer,NA,NA
coreself_9,Item of the specified psychological scale,integer,NA,NA
coreself_al,Item of the specified psychological scale in total,integer,NA,NA
correct_answer,Whether the participant response was correc,binary,NA,NA
correct_response,Whether the participant response was correc,binary,0=incorrect;1=correct,NA
correct,Correct response for the trial,categorical,NA,NA
CSE,Item of the specified psychological scale,integer,NA,NA
domain_al,Item of the specified psychological scale in total,integer,NA,NA
domain,Item of the specified psychological scale,integer,NA,NA
education,Education level,categorical,NA,NA
fatherEdu,Father education level,categorical,NA,NA
FatherOccupation,Father occupation category,categorical,NA,NA
fri_ses2,Subjective rating of the socioeconomic status of the participant's friends.,integer,NA,NA
friend_name,Name of friends,integer,NA,NA
gad_1,Item of the specified psychological scale,integer,NA,NA
gad_2,Item of the specified psychological scale,integer,NA,NA
gad_3,Item of the specified psychological scale,integer,NA,NA
gad_4,Item of the specified psychological scale,integer,NA,NA
gad_5,Item of the specified psychological scale,integer,NA,NA
gad_6,Item of the specified psychological scale,integer,NA,NA
gad_7,Item of the specified psychological scale,integer,NA,NA
gad_al,Item of the specified psychological scale in total,integer,NA,NA
gad,Item of the specified psychological scale,integer,NA,NA
hsns_1,Item of the specified psychological scale,integer,NA,NA
hsns_10,Item of the specified psychological scale,integer,NA,NA
hsns_2,Item of the specified psychological scale,integer,NA,NA
hsns_3,Item of the specified psychological scale,integer,NA,NA
hsns_4,Item of the specified psychological scale,integer,NA,NA
hsns_5,Item of the specified psychological scale,integer,NA,NA
hsns_6,Item of the specified psychological scale,integer,NA,NA
hsns_7,Item of the specified psychological scale,integer,NA,NA
hsns_8,Item of the specified psychological scale,integer,NA,NA
hsns_9,Item of the specified psychological scale,integer,NA,NA
hsns_al,Item of the specified psychological scale in total,integer,NA,NA
HSNS,Item of the specified psychological scale,integer,NA,NA
IAT,Behavioral Task Indicators,float,NA,NA
ID,Participant ID,integer,NA,NA
identity,Unique anonymized identifier for each participant,integer,NA,NA
IM_1,Item of the specified psychological scale,integer,NA,NA
IM_10,Item of the specified psychological scale,integer,NA,NA
IM_11,Item of the specified psychological scale,integer,NA,NA
IM_12,Item of the specified psychological scale,integer,NA,NA
IM_13,Item of the specified psychological scale,integer,NA,NA
